viability_score,pass_rate,bill_count
0.005,0.0,605
0.015,0.0,1384
0.025,0.0,2357
0.035,0.0,3155
0.045,0.0,3693
0.055,0.0,3870
0.065,0.0,3638
0.07500000000000001,0.0,3290
0.08499999999999999,0.0,3090
0.095,0.0,2747
0.10500000000000001,0.0,2581
0.11499999999999999,0.0,2350
0.125,0.0,2196
0.135,0.0,2127
0.14500000000000002,0.0,2028
0.155,0.05449591280653951,1835
0.165,0.0,1680
0.175,0.0,1584
0.185,0.0,1493
0.195,0.08051529790660225,1242
0.20500000000000002,0.0,1190
0.215,0.0,1095
0.225,0.0,970
0.235,0.11074197120708748,903
0.245,0.0,771
0.255,0.0,708
0.265,0.1524390243902439,656
0.275,0.0,628
0.28500000000000003,0.0,611
0.295,0.0,552
0.305,0.1851851851851852,540
0.315,0.0,570
0.325,0.0,542
0.335,0.0,453
0.34500000000000003,0.22471910112359553,445
0.355,0.8639308855291578,463
0.365,0.21097046413502107,474
0.375,0.4716981132075472,424
0.385,0.26041666666666663,384
0.395,0.0,378
0.405,0.0,360
0.41500000000000004,0.8174386920980926,367
0.425,0.0,368
0.435,0.2967359050445104,337
0.445,0.0,317
0.455,0.9009009009009009,333
0.465,0.0,299
0.475,0.0,317
0.485,0.6600660066006601,303
0.495,0.3952569169960474,253
0.505,0.0,243
0.515,0.847457627118644,236
0.525,0.4405286343612335,227
0.535,0.4830917874396135,207
0.545,0.5128205128205128,195
0.555,1.098901098901099,182
0.5650000000000001,0.0,178
0.575,2.6490066225165565,151
0.585,3.546099290780142,141
0.595,1.6,125
0.605,3.7037037037037033,135
0.615,1.9417475728155338,103
0.625,1.6,125
0.635,6.730769230769231,104
0.645,5.208333333333334,96
0.655,0.0,73
0.665,4.819277108433735,83
0.675,6.086956521739131,115
0.685,7.228915662650602,83
0.6950000000000001,1.1764705882352942,85
0.7050000000000001,6.024096385542169,83
0.715,2.5974025974025974,77
0.725,3.488372093023256,86
0.735,3.7735849056603774,106
0.745,0.0,64
0.755,10.465116279069768,86
0.765,6.493506493506493,77
0.775,2.5316455696202533,79
0.785,2.5974025974025974,77
0.795,7.246376811594203,69
0.805,2.5316455696202533,79
0.8150000000000001,2.857142857142857,70
0.8250000000000001,2.666666666666667,75
0.835,1.4285714285714286,70
0.845,4.411764705882353,68
0.855,2.898550724637681,69
0.865,6.41025641025641,78
0.875,3.0303030303030303,66
0.885,8.450704225352112,71
0.895,8.571428571428571,70
0.905,2.4390243902439024,82
0.915,5.319148936170213,94
0.925,5.454545454545454,110
0.935,5.555555555555555,108
0.9450000000000001,1.6528925619834711,121
0.9550000000000001,2.824858757062147,177
0.965,1.8796992481203008,266
0.975,0.6437768240343348,466
0.985,0.4920049200492005,813
0.995,25.613265725640673,7297
